ds,yhat,yhat_lower,yhat_upper
2023-01-01,1.1909021376715534,0.5902239834079837,1.8274391002958978
2023-02-01,1.1753300066173775,0.5203087250082448,1.768171306478487
2023-03-01,1.198995304533245,0.5800421918013299,1.800722919860248
2023-04-01,1.1857435369111418,0.5648811385989427,1.827462808611102
2023-05-01,1.2099485281309823,0.592323925804237,1.8671278778804345
2023-06-01,1.2011394183727293,0.6006519115800945,1.8104366722278695
2023-07-01,1.1938485152160108,0.5737987385329032,1.8149941695978782
2023-08-01,1.1746385743866552,0.5549766370790236,1.8070459912275147
2023-09-01,1.183337303444457,0.5050930280428596,1.8245832294581246
2023-10-01,1.1852980902900385,0.5328288099985957,1.7882714016185468
2023-11-01,1.1878541293137852,0.5574045772312106,1.8022141497396955
2023-12-01,1.2068186171732806,0.5777792192118936,1.8587399909159104
2024-01-01,0.8693471838647633,0.21901303976161154,1.5083679531504628
2024-02-01,0.859347848024643,0.1918618775322851,1.4589771035682628
2024-03-01,0.8843498206715849,0.23407631887717809,1.5180815259909788
2024-04-01,0.8674401322164196,0.2515377140585513,1.5256030177691695
2024-05-01,0.896039483816648,0.24704721320947903,1.522403687093652
2024-06-01,0.8867512992200709,0.2288935293233939,1.5467018692206052
2024-07-01,0.8836836638670751,0.22312724019489466,1.5100406974068807
2024-08-01,0.8628927164978801,0.22361383445407362,1.5087028144309818
2024-09-01,0.8697103672379064,0.24057319878459243,1.4446594345791999
2024-10-01,0.874620323402602,0.2848124056530878,1.521395369004146
2024-11-01,0.8758429093680788,0.25571927116924675,1.5234710393351762
2024-12-01,0.9031193216748337,0.2481456334759975,1.5632407449254684
